"OccNonMetID","Area_Title","Primary_State","Occupation_Title","Occupation_Group","Total_Employees_NonMet","Employee_PCT_NonMet","Jobs_1000_NonMet","Loc_Quotient_NonMet","H_Mean_NonMet","A_Mean_NonMet","Mean_PCT_NonMet","H_PCT10_NonMet","H_PCT25_NonMet","H_Median_NonMet","H_PCT75_NonMet","H_PCT90_NonMet","A_PCT10_NonMet","A_PCT25_NonMet","A_Median_NonMet","A_PCT75_NonMet","A_PCT90_NonMet","Annual_NonMet","Hourly_NonMet"
43649,Western Washington nonmetropolitan area,WA,Human Resources Managers,detailed,60,16.20,0.47,0.40,53.11,110460.00,3.70,37.75,37.79,48.12,60.81,72.06,78510.00,78610.00,100100.00,126490.00,149880.00,"",""
43650,Western Washington nonmetropolitan area,WA,Construction Managers,detailed,200,18.10,1.66,0.82,48.53,100940.00,6.20,29.20,37.63,45.64,59.80,70.24,60730.00,78260.00,94940.00,124390.00,146110.00,"",""
43651,Western Washington nonmetropolitan area,WA,"Education and Childcare Administrators, Preschool and Daycare",detailed,40,12.00,0.33,0.82,25.71,53470.00,4.80,17.56,18.22,22.54,33.68,36.96,36520.00,37890.00,46890.00,70040.00,76880.00,"",""
43652,Western Washington nonmetropolitan area,WA,"Education Administrators, Kindergarten through Secondary",detailed,260,4.20,2.20,1.13,,118570.00,0.80,,,,,,97020.00,99330.00,125520.00,128510.00,156520.00,TRUE,""
43653,Western Washington nonmetropolitan area,WA,"Education Administrators, Postsecondary",detailed,40,4.10,0.36,0.32,42.92,89270.00,2.50,28.97,35.86,37.92,47.29,60.54,60250.00,74590.00,78870.00,98360.00,125930.00,"",""
43654,Western Washington nonmetropolitan area,WA,Architectural and Engineering Managers,detailed,40,28.40,0.31,0.23,67.06,139480.00,3.10,48.12,61.13,62.13,78.27,89.71,100100.00,127140.00,129220.00,162790.00,186590.00,"",""
43655,Western Washington nonmetropolitan area,WA,Food Service Managers,detailed,100,19.80,0.87,0.58,35.39,73610.00,9.20,23.19,28.12,28.72,42.12,53.80,48240.00,58500.00,59740.00,87600.00,111900.00,"",""
43656,Western Washington nonmetropolitan area,WA,Lodging Managers,detailed,160,20.60,1.35,5.30,29.71,61790.00,7.00,22.46,22.55,23.31,36.42,38.08,46710.00,46900.00,48490.00,75750.00,79210.00,"",""
43657,Western Washington nonmetropolitan area,WA,Medical and Health Services Managers,detailed,220,5.80,1.80,0.58,58.41,121490.00,1.60,36.85,45.25,48.29,60.80,98.73,76640.00,94120.00,100430.00,126460.00,205350.00,"",""
43658,Western Washington nonmetropolitan area,WA,Natural Sciences Managers,detailed,40,16.40,0.34,0.64,53.05,110340.00,4.10,37.46,43.79,47.78,51.68,92.03,77910.00,91080.00,99370.00,107490.00,191420.00,"",""
43659,Western Washington nonmetropolitan area,WA,Postmasters and Mail Superintendents,detailed,50,0.00,0.43,4.72,36.25,75400.00,0.00,28.57,33.84,35.59,40.22,43.70,59430.00,70390.00,74030.00,83660.00,90900.00,"",""
43660,Western Washington nonmetropolitan area,WA,"Property, Real Estate, and Community Association Managers",detailed,50,24.90,0.42,0.25,39.67,82510.00,4.40,28.05,34.04,36.04,37.99,59.25,58340.00,70800.00,74970.00,79030.00,123240.00,"",""
43661,Western Washington nonmetropolitan area,WA,Social and Community Service Managers,detailed,,,,,36.91,76770.00,2.40,36.83,36.83,36.83,36.83,36.83,76600.00,76600.00,76600.00,76600.00,76600.00,"",""
43662,Western Washington nonmetropolitan area,WA,"Managers, All Other",detailed,220,11.30,1.80,0.51,51.13,106360.00,2.70,29.19,37.04,48.72,60.06,76.68,60710.00,77040.00,101340.00,124930.00,159480.00,"",""
43663,Western Washington nonmetropolitan area,WA,Business and Financial Operations Occupations,major,4910,2.30,41.07,0.64,34.59,71950.00,2.10,20.65,23.08,29.93,38.71,49.30,42950.00,48010.00,62250.00,80510.00,102540.00,"",""
43664,Western Washington nonmetropolitan area,WA,Buyers and Purchasing Agents,detailed,320,9.70,2.64,0.85,30.39,63200.00,3.20,18.18,22.71,29.17,36.83,46.86,37810.00,47230.00,60670.00,76600.00,97480.00,"",""
43665,Western Washington nonmetropolitan area,WA,"Claims Adjusters, Examiners, and Investigators",detailed,30,5.40,0.28,0.14,36.89,76730.00,0.90,25.68,29.60,36.58,41.99,50.33,53410.00,61570.00,76080.00,87340.00,104690.00,"",""
43666,Western Washington nonmetropolitan area,WA,Compliance Officers,detailed,160,8.70,1.34,0.57,36.88,76710.00,3.10,22.95,28.90,34.14,44.70,55.29,47740.00,60110.00,71000.00,92980.00,114990.00,"",""
43667,Western Washington nonmetropolitan area,WA,Cost Estimators,detailed,200,37.20,1.65,1.11,35.16,73140.00,18.50,22.26,28.94,30.48,38.71,55.16,46300.00,60190.00,63390.00,80510.00,114740.00,"",""
43668,Western Washington nonmetropolitan area,WA,Human Resources Specialists,detailed,410,7.00,3.39,0.65,33.10,68850.00,1.80,21.87,24.72,29.96,38.00,47.05,45490.00,51420.00,62320.00,79030.00,97870.00,"",""
43669,Western Washington nonmetropolitan area,WA,Logisticians,detailed,60,11.20,0.51,0.38,36.04,74970.00,2.30,25.97,29.11,34.90,38.58,49.52,54020.00,60550.00,72600.00,80250.00,103010.00,"",""
43670,Western Washington nonmetropolitan area,WA,Project Management Specialists,detailed,90,23.10,0.72,0.14,47.06,97890.00,7.60,23.10,30.44,46.61,60.95,75.45,48050.00,63310.00,96940.00,126780.00,156930.00,"",""
43671,Western Washington nonmetropolitan area,WA,Management Analysts,detailed,180,15.00,1.51,0.28,46.59,96900.00,6.50,24.72,30.08,39.72,57.09,75.49,51420.00,62560.00,82620.00,118740.00,157010.00,"",""
43672,Western Washington nonmetropolitan area,WA,"Meeting, Convention, and Event Planners",detailed,100,12.60,0.80,1.14,22.90,47620.00,4.50,14.51,14.90,22.59,28.64,30.01,30170.00,31000.00,46980.00,59570.00,62410.00,"",""
43673,Western Washington nonmetropolitan area,WA,Fundraisers,detailed,100,9.00,0.85,1.45,28.14,58530.00,3.60,18.06,22.62,29.00,30.37,38.71,37570.00,47040.00,60320.00,63170.00,80510.00,"",""
43674,Western Washington nonmetropolitan area,WA,Training and Development Specialists,detailed,110,12.40,0.94,0.39,31.99,66540.00,3.90,18.63,22.95,28.87,40.33,49.30,38750.00,47740.00,60050.00,83880.00,102540.00,"",""
43675,Western Washington nonmetropolitan area,WA,Market Research Analysts and Marketing Specialists,detailed,300,6.10,2.49,0.48,30.54,63530.00,3.80,15.84,18.27,25.91,36.63,49.41,32950.00,37990.00,53900.00,76190.00,102780.00,"",""
43676,Western Washington nonmetropolitan area,WA,"Business Operations Specialists, All Other",detailed,1310,7.20,10.95,1.50,30.35,63130.00,7.40,20.27,22.62,24.15,36.96,47.50,42170.00,47040.00,50240.00,76880.00,98790.00,"",""
43677,Western Washington nonmetropolitan area,WA,Accountants and Auditors,detailed,780,3.60,6.52,0.70,37.08,77120.00,1.40,23.34,29.45,36.57,44.92,48.26,48560.00,61260.00,76060.00,93430.00,100380.00,"",""
43678,Western Washington nonmetropolitan area,WA,Property Appraisers and Assessors,detailed,110,13.50,0.89,2.15,33.16,68970.00,4.10,23.57,24.15,29.93,37.91,47.57,49020.00,50240.00,62250.00,78850.00,98940.00,"",""
43679,Western Washington nonmetropolitan area,WA,Financial and Investment Analysts,detailed,50,6.90,0.44,0.21,32.48,67550.00,3.90,24.16,26.66,29.91,37.16,40.53,50250.00,55450.00,62200.00,77290.00,84300.00,"",""
43680,Western Washington nonmetropolitan area,WA,Personal Financial Advisors,detailed,90,15.60,0.79,0.42,95.99,199660.00,7.40,27.55,45.88,,,,57300.00,95430.00,,,,"",""
43681,Western Washington nonmetropolitan area,WA,Loan Officers,detailed,230,11.70,1.92,0.80,33.29,69240.00,4.00,18.32,22.72,28.90,37.04,56.52,38100.00,47250.00,60110.00,77040.00,117570.00,"",""
43682,Western Washington nonmetropolitan area,WA,Tax Preparers,detailed,100,14.80,0.82,1.38,26.63,55380.00,6.50,17.03,20.56,23.50,36.54,38.11,35420.00,42750.00,48890.00,76010.00,79270.00,"",""
43683,Western Washington nonmetropolitan area,WA,"Financial Specialists, All Other",detailed,60,12.40,0.51,0.58,42.47,88340.00,3.50,18.82,28.14,34.00,47.08,80.56,39150.00,58530.00,70730.00,97920.00,167570.00,"",""
43684,Western Washington nonmetropolitan area,WA,Computer and Mathematical Occupations,major,1520,4.30,12.71,0.38,39.81,82800.00,4.90,22.29,28.54,37.14,47.76,61.25,46360.00,59350.00,77250.00,99330.00,127410.00,"",""
43685,Western Washington nonmetropolitan area,WA,Computer Systems Analysts,detailed,260,32.80,2.22,0.62,39.31,81770.00,3.30,29.74,30.03,37.89,47.28,47.76,61860.00,62460.00,78810.00,98340.00,99350.00,"",""
43686,Western Washington nonmetropolitan area,WA,Computer User Support Specialists,detailed,390,7.10,3.27,0.70,28.23,58720.00,3.70,17.95,22.29,28.06,33.03,37.74,37340.00,46360.00,58360.00,68690.00,78500.00,"",""
43687,Western Washington nonmetropolitan area,WA,Database Administrators,detailed,80,13.90,0.68,1.11,28.33,58920.00,9.70,22.29,22.29,28.54,28.54,38.40,46360.00,46360.00,59350.00,59350.00,79860.00,"",""
43688,Western Washington nonmetropolitan area,WA,Network and Computer Systems Administrators,detailed,120,13.80,1.00,0.44,38.31,79680.00,1.70,28.50,32.28,37.32,45.50,48.18,59290.00,67140.00,77620.00,94650.00,100220.00,"",""
43689,Western Washington nonmetropolitan area,WA,Software Developers,detailed,330,17.00,2.78,0.29,57.50,119610.00,8.50,34.62,46.55,58.03,72.15,76.86,72010.00,96810.00,120700.00,150080.00,159860.00,"",""
43690,Western Washington nonmetropolitan area,WA,Web and Digital Interface Designers,detailed,40,31.00,0.30,0.52,36.91,76770.00,17.40,22.66,29.15,37.03,41.33,61.49,47140.00,60630.00,77030.00,85960.00,127900.00,"",""
43691,Western Washington nonmetropolitan area,WA,"Computer Occupations, All Other",detailed,140,13.00,1.20,0.46,40.80,84860.00,4.40,22.55,29.76,38.40,48.41,59.85,46910.00,61900.00,79860.00,100690.00,124490.00,"",""
43692,Western Washington nonmetropolitan area,WA,Architecture and Engineering Occupations,major,1010,5.10,8.42,0.49,38.85,80810.00,1.30,23.02,29.43,37.26,46.70,57.76,47880.00,61210.00,77500.00,97140.00,120130.00,"",""
43693,Western Washington nonmetropolitan area,WA,Cartographers and Photogrammetrists,detailed,30,21.40,0.26,2.94,35.08,72970.00,5.60,23.27,29.65,33.30,38.23,47.11,48400.00,61670.00,69250.00,79520.00,97980.00,"",""
43694,Western Washington nonmetropolitan area,WA,Surveyors,detailed,60,9.60,0.53,1.60,39.56,82290.00,5.50,23.30,28.95,36.44,46.88,55.64,48460.00,60220.00,75800.00,97500.00,115730.00,"",""
43695,Western Washington nonmetropolitan area,WA,Civil Engineers,detailed,170,10.50,1.46,0.67,41.23,85760.00,1.90,30.10,36.76,38.87,45.72,51.69,62610.00,76450.00,80840.00,95100.00,107520.00,"",""
43696,Western Washington nonmetropolitan area,WA,Electrical Engineers,detailed,110,26.70,0.89,0.67,51.93,108010.00,3.00,36.94,37.82,48.05,61.36,77.03,76840.00,78660.00,99950.00,127620.00,160210.00,"",""
43697,Western Washington nonmetropolitan area,WA,Industrial Engineers,detailed,50,18.80,0.43,0.21,38.80,80690.00,6.70,29.43,33.08,37.60,42.61,56.98,61210.00,68810.00,78210.00,88620.00,118520.00,"",""
43698,Western Washington nonmetropolitan area,WA,Mechanical Engineers,detailed,60,9.10,0.49,0.25,39.72,82620.00,2.60,26.95,28.98,35.15,48.93,55.87,56060.00,60280.00,73120.00,101780.00,116210.00,"",""
43699,Western Washington nonmetropolitan area,WA,Architectural and Civil Drafters,detailed,40,32.30,0.30,0.42,28.91,60130.00,11.70,21.27,22.58,28.42,35.08,37.84,44240.00,46970.00,59110.00,72960.00,78700.00,"",""
43700,Western Washington nonmetropolitan area,WA,Civil Engineering Technologists and Technicians,detailed,70,8.90,0.62,1.37,31.30,65100.00,2.20,23.72,29.40,30.22,35.65,37.38,49330.00,61140.00,62860.00,74150.00,77750.00,"",""
43701,Western Washington nonmetropolitan area,WA,Electrical and Electronic Engineering Technologists and Technicians,detailed,50,25.40,0.39,0.54,37.61,78230.00,4.80,23.09,29.33,37.17,44.89,53.05,48030.00,61000.00,77320.00,93370.00,110340.00,"",""
43702,Western Washington nonmetropolitan area,WA,Surveying and Mapping Technicians,detailed,110,10.60,0.89,2.23,26.00,54090.00,5.20,17.87,21.73,23.07,29.37,36.63,37160.00,45190.00,47980.00,61080.00,76180.00,"",""
43703,Western Washington nonmetropolitan area,WA,"Life, Physical, and Social Science Occupations",major,1330,3.70,11.09,1.23,32.84,68310.00,1.50,18.24,23.00,30.08,38.82,48.61,37950.00,47840.00,62560.00,80750.00,101100.00,"",""
43704,Western Washington nonmetropolitan area,WA,Zoologists and Wildlife Biologists,detailed,160,13.30,1.33,11.79,35.34,73500.00,2.60,24.72,29.17,35.64,38.60,46.90,51420.00,60670.00,74130.00,80280.00,97550.00,"",""
43705,Western Washington nonmetropolitan area,WA,Conservation Scientists,detailed,90,5.30,0.75,4.65,31.04,64570.00,1.20,22.49,26.01,29.43,36.73,39.58,46790.00,54100.00,61210.00,76400.00,82330.00,"",""
43706,Western Washington nonmetropolitan area,WA,Foresters,detailed,170,14.40,1.45,21.58,40.38,83990.00,2.10,30.97,33.30,38.85,47.39,50.23,64430.00,69250.00,80800.00,98570.00,104480.00,"",""
43707,Western Washington nonmetropolitan area,WA,"Environmental Scientists and Specialists, Including Health",detailed,130,11.90,1.11,2.04,31.63,65790.00,5.30,17.91,23.32,29.80,35.81,44.70,37240.00,48510.00,61990.00,74490.00,92980.00,"",""
43708,Western Washington nonmetropolitan area,WA,Clinical and Counseling Psychologists,detailed,40,12.20,0.30,0.73,47.09,97940.00,2.80,35.86,39.58,41.57,56.98,60.26,74590.00,82330.00,86470.00,118510.00,125340.00,"",""
43709,Western Washington nonmetropolitan area,WA,School Psychologists,detailed,40,6.90,0.37,0.92,45.41,94460.00,1.20,35.75,39.61,48.10,49.77,50.31,74370.00,82390.00,100040.00,103510.00,104650.00,"",""
43710,Western Washington nonmetropolitan area,WA,Urban and Regional Planners,detailed,70,6.10,0.60,2.18,32.85,68320.00,1.20,23.61,23.77,30.08,38.03,47.77,49100.00,49440.00,62560.00,79100.00,99350.00,"",""
43711,Western Washington nonmetropolitan area,WA,Agricultural Technicians,detailed,30,27.60,0.26,2.68,19.06,39630.00,2.70,14.48,17.50,17.76,22.21,23.04,30110.00,36400.00,36950.00,46200.00,47930.00,"",""
43712,Western Washington nonmetropolitan area,WA,Biological Technicians,detailed,190,9.00,1.63,3.01,20.80,43260.00,0.80,16.95,18.13,21.00,22.33,24.72,35260.00,37720.00,43680.00,46440.00,51420.00,"",""
43713,Western Washington nonmetropolitan area,WA,Forest and Conservation Technicians,detailed,80,9.30,0.65,2.99,20.21,42030.00,0.90,15.15,16.95,18.57,21.70,27.91,31510.00,35260.00,38630.00,45140.00,58050.00,"",""
43714,Western Washington nonmetropolitan area,WA,Occupational Health and Safety Specialists,detailed,90,7.40,0.72,0.95,37.57,78140.00,2.00,23.61,30.08,37.16,43.13,49.34,49100.00,62560.00,77290.00,89710.00,102640.00,"",""
43715,Western Washington nonmetropolitan area,WA,Community and Social Service Occupations,major,2850,11.90,23.81,1.50,26.56,55230.00,1.90,17.32,18.61,23.73,30.92,37.34,36030.00,38700.00,49360.00,64320.00,77670.00,"",""
43716,Western Washington nonmetropolitan area,WA,"Educational, Guidance, and Career Counselors and Advisors",detailed,180,3.70,1.52,0.72,39.40,81950.00,1.40,27.00,30.16,38.15,47.34,49.84,56150.00,62740.00,79350.00,98480.00,103660.00,"",""
43717,Western Washington nonmetropolitan area,WA,Rehabilitation Counselors,detailed,160,7.50,1.37,2.13,24.16,50240.00,3.70,17.37,18.20,22.29,29.43,34.97,36120.00,37860.00,46370.00,61210.00,72750.00,"",""
43718,Western Washington nonmetropolitan area,WA,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,690,5.30,5.79,2.63,24.91,51800.00,1.50,16.84,18.08,22.62,29.17,36.91,35020.00,37600.00,47040.00,60670.00,76780.00,"",""
43719,Western Washington nonmetropolitan area,WA,"Child, Family, and School Social Workers",detailed,460,6.50,3.87,1.60,29.02,60350.00,1.50,18.67,23.25,29.38,34.11,36.58,38830.00,48360.00,61110.00,70940.00,76090.00,"",""
43720,Western Washington nonmetropolitan area,WA,Healthcare Social Workers,detailed,160,10.30,1.32,1.07,29.98,62360.00,2.40,18.70,22.80,29.16,37.34,39.10,38890.00,47430.00,60640.00,77670.00,81330.00,"",""
43721,Western Washington nonmetropolitan area,WA,Mental Health and Substance Abuse Social Workers,detailed,110,15.70,0.89,1.10,24.48,50910.00,5.40,14.71,18.06,23.19,30.90,34.11,30600.00,37560.00,48220.00,64280.00,70940.00,"",""
43722,Western Washington nonmetropolitan area,WA,Health Education Specialists,detailed,40,9.10,0.35,0.88,31.44,65390.00,2.00,23.13,26.69,29.95,38.41,38.73,48100.00,55510.00,62290.00,79890.00,80570.00,"",""
43723,Western Washington nonmetropolitan area,WA,Probation Officers and Correctional Treatment Specialists,detailed,320,1.50,2.66,4.06,30.96,64400.00,0.20,25.15,29.07,30.92,33.32,35.01,52310.00,60470.00,64320.00,69310.00,72820.00,"",""
43724,Western Washington nonmetropolitan area,WA,Social and Human Service Assistants,detailed,,,,,19.98,41560.00,10.30,14.43,17.48,18.51,22.58,25.73,30010.00,36360.00,38500.00,46970.00,53510.00,"",""
43725,Western Washington nonmetropolitan area,WA,Community Health Workers,detailed,130,20.60,1.11,2.56,20.99,43650.00,4.10,14.32,14.38,18.51,23.93,30.17,29780.00,29910.00,38500.00,49770.00,62760.00,"",""
43726,Western Washington nonmetropolitan area,WA,"Community and Social Service Specialists, All Other",detailed,100,23.00,0.86,1.34,21.12,43930.00,6.00,13.93,16.69,18.67,23.68,29.08,28960.00,34710.00,38830.00,49250.00,60480.00,"",""
43727,Western Washington nonmetropolitan area,WA,Legal Occupations,major,590,7.20,4.92,0.59,43.61,90710.00,3.80,18.21,23.27,36.62,49.97,81.16,37870.00,48410.00,76170.00,103950.00,168810.00,"",""
43728,Western Washington nonmetropolitan area,WA,Lawyers,detailed,180,23.60,1.55,0.32,54.20,112730.00,8.80,36.24,37.81,48.64,61.42,79.24,75370.00,78630.00,101170.00,127750.00,164820.00,"",""
43729,Western Washington nonmetropolitan area,WA,"Judges, Magistrate Judges, and Magistrates",detailed,120,13.50,0.97,4.90,72.61,151020.00,4.70,47.15,47.99,77.95,99.29,,98060.00,99830.00,162130.00,206520.00,,"",""
43730,Western Washington nonmetropolitan area,WA,Paralegals and Legal Assistants,detailed,130,12.30,1.07,0.45,27.01,56180.00,3.70,22.13,23.01,23.56,29.17,36.02,46040.00,47860.00,48990.00,60670.00,74930.00,"",""
43731,Western Washington nonmetropolitan area,WA,"Title Examiners, Abstractors, and Searchers",detailed,90,6.00,0.78,2.16,21.08,43840.00,1.60,14.21,17.52,18.43,23.39,28.65,29550.00,36440.00,38320.00,48650.00,59590.00,"",""
43732,Western Washington nonmetropolitan area,WA,"Legal Support Workers, All Other",detailed,30,13.80,0.29,0.87,27.07,56310.00,5.30,18.43,18.56,23.39,29.79,36.71,38320.00,38610.00,48650.00,61950.00,76360.00,"",""
43733,Western Washington nonmetropolitan area,WA,Educational Instruction and Library Occupations,major,7670,1.60,64.15,1.10,29.19,60720.00,0.90,15.90,17.93,28.28,37.78,47.82,33070.00,37300.00,58810.00,78570.00,99470.00,"",""
43734,Western Washington nonmetropolitan area,WA,"Nursing Instructors and Teachers, Postsecondary",detailed,40,3.70,0.31,0.63,,78410.00,4.00,,,,,,61350.00,63740.00,81250.00,95910.00,95910.00,TRUE,""
43735,Western Washington nonmetropolitan area,WA,"Art, Drama, and Music Teachers, Postsecondary",detailed,40,10.30,0.36,0.54,,59290.00,1.40,,,,,,30730.00,44340.00,61120.00,76840.00,81250.00,TRUE,""
43736,Western Washington nonmetropolitan area,WA,"English Language and Literature Teachers, Postsecondary",detailed,30,4.70,0.29,0.69,,53750.00,3.80,,,,,,36640.00,39090.00,48490.00,63740.00,81250.00,TRUE,""
43737,Western Washington nonmetropolitan area,WA,"Career/Technical Education Teachers, Postsecondary",detailed,160,3.00,1.36,1.82,29.26,60860.00,1.80,18.79,23.31,29.17,36.68,39.06,39090.00,48490.00,60670.00,76280.00,81250.00,"",""
43738,Western Washington nonmetropolitan area,WA,"Preschool Teachers, Except Special Education",detailed,360,9.20,2.98,1.07,17.74,36900.00,1.50,13.87,14.20,16.49,18.54,23.00,28850.00,29530.00,34290.00,38550.00,47840.00,"",""
43739,Western Washington nonmetropolitan area,WA,"Kindergarten Teachers, Except Special Education",detailed,240,3.00,1.99,2.32,,74780.00,0.90,,,,,,48720.00,61680.00,76880.00,94810.00,100080.00,TRUE,""
43740,Western Washington nonmetropolitan area,WA,"Elementary School Teachers, Except Special Education",detailed,1330,2.00,11.16,1.18,,79070.00,0.90,,,,,,49120.00,62390.00,78310.00,98760.00,100310.00,TRUE,""
43741,Western Washington nonmetropolitan area,WA,"Middle School Teachers, Except Special and Career/Technical Education",detailed,450,3.60,3.73,0.89,,81100.00,1.30,,,,,,57720.00,62420.00,79090.00,99190.00,100310.00,TRUE,""
43742,Western Washington nonmetropolitan area,WA,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,760,3.60,6.35,0.88,,83570.00,1.10,,,,,,60130.00,70240.00,80660.00,99470.00,102230.00,TRUE,""
43743,Western Washington nonmetropolitan area,WA,"Career/Technical Education Teachers, Secondary School",detailed,180,3.70,1.49,2.48,,85240.00,1.40,,,,,,60430.00,75840.00,95570.00,99470.00,100310.00,TRUE,""
43744,Western Washington nonmetropolitan area,WA,"Special Education Teachers, Preschool",detailed,30,15.10,0.29,1.95,,68610.00,6.80,,,,,,30340.00,47910.00,73010.00,94810.00,101250.00,TRUE,""
43745,Western Washington nonmetropolitan area,WA,"Special Education Teachers, Kindergarten and Elementary School",detailed,140,2.60,1.20,0.90,,77910.00,0.90,,,,,,60130.00,62420.00,78310.00,97480.00,100310.00,TRUE,""
43746,Western Washington nonmetropolitan area,WA,"Special Education Teachers, Middle School",detailed,60,6.60,0.53,0.95,,74030.00,1.80,,,,,,48450.00,61680.00,76880.00,80230.00,100310.00,TRUE,""
43747,Western Washington nonmetropolitan area,WA,"Special Education Teachers, Secondary School",detailed,120,5.30,0.96,0.93,,80270.00,1.20,,,,,,60670.00,62680.00,79120.00,99010.00,100310.00,TRUE,""
43748,Western Washington nonmetropolitan area,WA,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed,60,8.30,0.51,1.89,29.36,61070.00,2.40,18.74,23.08,29.60,30.25,38.39,38980.00,48010.00,61580.00,62920.00,79860.00,"",""
43749,Western Washington nonmetropolitan area,WA,Self-Enrichment Teachers,detailed,220,9.80,1.80,1.17,20.11,41820.00,3.10,13.69,14.82,17.93,22.72,28.60,28480.00,30820.00,37290.00,47260.00,59490.00,"",""
43750,Western Washington nonmetropolitan area,WA,"Substitute Teachers, Short-Term",detailed,520,4.80,4.37,1.64,19.62,40810.00,1.60,17.58,17.61,17.93,22.47,23.15,36570.00,36620.00,37300.00,46750.00,48140.00,"",""
43751,Western Washington nonmetropolitan area,WA,Tutors,detailed,30,14.10,0.27,0.26,17.38,36150.00,3.30,13.84,14.39,16.07,20.34,20.49,28790.00,29940.00,33420.00,42300.00,42630.00,"",""
43752,Western Washington nonmetropolitan area,WA,"Teachers and Instructors, All Other",detailed,80,12.10,0.68,0.58,,64470.00,3.90,,,,,,29990.00,38710.00,62680.00,80660.00,100730.00,TRUE,""
43753,Western Washington nonmetropolitan area,WA,Archivists,detailed,40,11.60,0.32,7.32,28.12,58490.00,2.50,22.58,23.30,28.78,29.65,36.58,46970.00,48450.00,59860.00,61680.00,76080.00,"",""
43754,Western Washington nonmetropolitan area,WA,Librarians and Media Collections Specialists,detailed,230,33.00,1.96,2.16,30.91,64280.00,3.20,23.35,29.17,29.21,29.65,38.78,48570.00,60670.00,60770.00,61680.00,80660.00,"",""
43755,Western Washington nonmetropolitan area,WA,Library Technicians,detailed,80,44.10,0.63,1.22,21.91,45580.00,2.90,17.86,22.26,22.65,22.66,22.68,37140.00,46300.00,47110.00,47130.00,47170.00,"",""
