"OccMetID","Area_Title","Primary_State","Occupation_Title","Occupation_Group","Total_Employees_Met","Employee_PCT_Met","Jobs_1000_Met","Loc_Quotient_Met","H_Mean_Met","A_Mean_Met","Mean_PCT_Met","H_PCT10_Met","H_PCT25_Met","H_Median_Met","H_PCT75_Met","H_PCT90_Met","A_PCT10_Met","A_PCT25_Met","A_Median_Met","A_PCT75_Met","A_PCT90_Met","Annual_Met","Hourly_Met"
11854,"Bellingham, WA",WA,Architecture and Engineering Occupations,major,1240,2.20,15.021,0.87,43.45,90380.00,1.10,23.63,29.92,38.42,50.48,62.79,49160.00,62230.00,79920.00,105000.00,130590.00,"",""
11855,"Bellingham, WA",WA,"Architects, Except Landscape and Naval",detailed,40,15.70,0.448,0.63,40.10,83400.00,3.60,27.74,34.64,37.56,46.28,58.34,57700.00,72040.00,78120.00,96250.00,121360.00,"",""
11856,"Bellingham, WA",WA,Civil Engineers,detailed,300,5.90,3.633,1.68,43.94,91400.00,3.00,29.62,35.54,42.78,48.91,60.86,61620.00,73920.00,88990.00,101740.00,126600.00,"",""
11857,"Bellingham, WA",WA,Electrical Engineers,detailed,120,7.80,1.459,1.10,53.55,111390.00,2.40,29.99,38.08,48.93,62.86,80.24,62380.00,79210.00,101780.00,130750.00,166890.00,"",""
11858,"Bellingham, WA",WA,Industrial Engineers,detailed,60,15.50,0.772,0.37,43.07,89590.00,2.70,28.76,34.04,43.05,48.46,58.03,59820.00,70800.00,89540.00,100800.00,120700.00,"",""
11859,"Bellingham, WA",WA,Mechanical Engineers,detailed,150,6.50,1.852,0.94,50.22,104470.00,2.60,29.28,38.08,48.93,62.64,73.28,60900.00,79200.00,101780.00,130280.00,152430.00,"",""
11860,"Bellingham, WA",WA,"Engineers, All Other",detailed,50,11.20,0.574,0.53,52.12,108400.00,4.50,29.80,38.29,48.93,62.64,80.24,61990.00,79640.00,101780.00,130280.00,166890.00,"",""
11861,"Bellingham, WA",WA,Architectural and Civil Drafters,detailed,80,12.60,0.981,1.36,30.56,63560.00,2.70,22.80,23.55,29.34,36.98,38.15,47430.00,48990.00,61020.00,76920.00,79360.00,"",""
11862,"Bellingham, WA",WA,Mechanical Drafters,detailed,60,20.20,0.672,1.98,29.59,61550.00,5.00,20.96,24.05,29.19,35.94,37.84,43590.00,50010.00,60710.00,74750.00,78700.00,"",""
11863,"Bellingham, WA",WA,Civil Engineering Technologists and Technicians,detailed,40,7.80,0.541,1.19,30.92,64320.00,1.80,22.59,28.68,29.13,35.86,38.41,46980.00,59650.00,60580.00,74590.00,79890.00,"",""
11864,"Bellingham, WA",WA,Surveying and Mapping Technicians,detailed,50,7.90,0.637,1.60,26.39,54900.00,2.80,17.96,21.96,27.80,29.63,36.06,37360.00,45680.00,57830.00,61620.00,74990.00,"",""
11865,"Bellingham, WA",WA,"Life, Physical, and Social Science Occupations",major,890,4.50,10.730,1.19,33.64,69970.00,1.10,18.57,23.77,30.25,40.24,50.33,38630.00,49450.00,62920.00,83710.00,104690.00,"",""
11866,"Bellingham, WA",WA,"Biological Scientists, All Other",detailed,60,3.00,0.680,2.04,39.98,83150.00,3.40,23.22,29.68,44.89,48.97,48.97,48300.00,61740.00,93370.00,101860.00,101860.00,"",""
11867,"Bellingham, WA",WA,"Medical Scientists, Except Epidemiologists",detailed,70,6.00,0.896,1.16,34.44,71630.00,2.40,24.16,24.16,30.21,40.24,50.56,50240.00,50240.00,62850.00,83710.00,105160.00,"",""
11868,"Bellingham, WA",WA,Chemists,detailed,50,13.20,0.575,1.01,25.76,53580.00,2.50,19.06,23.60,24.29,28.14,30.97,39630.00,49090.00,50520.00,58530.00,64430.00,"",""
11869,"Bellingham, WA",WA,"Environmental Scientists and Specialists, Including Health",detailed,80,11.80,0.976,1.79,42.65,88710.00,4.90,26.69,29.43,37.07,47.57,71.37,55510.00,61210.00,77110.00,98950.00,148460.00,"",""
11870,"Bellingham, WA",WA,School Psychologists,detailed,30,3.30,0.368,0.91,43.95,91420.00,1.80,30.80,37.16,45.41,49.81,57.08,64060.00,77290.00,94460.00,103590.00,118720.00,"",""
11871,"Bellingham, WA",WA,Urban and Regional Planners,detailed,50,5.20,0.656,2.37,41.14,85560.00,0.80,33.59,36.06,38.60,45.41,47.44,69860.00,75000.00,80280.00,94460.00,98670.00,"",""
11872,"Bellingham, WA",WA,Biological Technicians,detailed,100,6.90,1.188,2.20,23.48,48850.00,1.20,18.61,19.11,23.83,24.81,30.25,38700.00,39740.00,49570.00,51600.00,62920.00,"",""
11873,"Bellingham, WA",WA,Chemical Technicians,detailed,60,9.00,0.721,1.76,27.73,57690.00,2.90,18.07,18.54,24.37,35.42,44.77,37590.00,38560.00,50690.00,73680.00,93120.00,"",""
11874,"Bellingham, WA",WA,Occupational Health and Safety Specialists,detailed,50,14.90,0.615,0.81,44.37,92290.00,3.10,34.47,37.98,45.92,48.65,57.91,71690.00,78990.00,95510.00,101180.00,120450.00,"",""
11875,"Bellingham, WA",WA,Community and Social Service Occupations,major,1450,4.40,17.501,1.10,26.46,55030.00,1.10,16.80,18.61,23.73,30.55,37.59,34930.00,38710.00,49360.00,63540.00,78180.00,"",""
11876,"Bellingham, WA",WA,"Educational, Guidance, and Career Counselors and Advisors",detailed,160,3.20,1.917,0.91,33.69,70080.00,1.10,23.70,24.15,30.73,39.24,49.79,49300.00,50220.00,63920.00,81610.00,103570.00,"",""
11877,"Bellingham, WA",WA,Rehabilitation Counselors,detailed,80,12.90,0.947,1.48,25.92,53920.00,2.40,18.01,18.42,22.86,30.16,36.73,37460.00,38320.00,47540.00,62740.00,76400.00,"",""
11878,"Bellingham, WA",WA,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,290,9.80,3.529,1.60,26.53,55170.00,2.30,17.57,21.54,23.88,29.68,37.02,36550.00,44800.00,49680.00,61740.00,77000.00,"",""
11879,"Bellingham, WA",WA,"Child, Family, and School Social Workers",detailed,300,6.80,3.582,1.48,26.79,55730.00,1.30,17.74,21.30,26.04,32.48,34.97,36910.00,44310.00,54160.00,67550.00,72750.00,"",""
11880,"Bellingham, WA",WA,Healthcare Social Workers,detailed,140,26.00,1.706,1.38,29.32,60990.00,2.90,18.73,23.04,29.17,35.23,37.05,38960.00,47930.00,60670.00,73270.00,77060.00,"",""
11881,"Bellingham, WA",WA,Mental Health and Substance Abuse Social Workers,detailed,40,16.80,0.517,0.64,25.15,52310.00,4.00,17.55,18.55,22.71,34.11,34.97,36490.00,38580.00,47230.00,70940.00,72750.00,"",""
11882,"Bellingham, WA",WA,Social and Human Service Assistants,detailed,200,10.90,2.461,0.87,19.53,40620.00,1.20,14.61,16.19,18.25,22.18,26.87,30390.00,33680.00,37960.00,46120.00,55890.00,"",""
11883,"Bellingham, WA",WA,Community Health Workers,detailed,90,14.40,1.119,2.58,20.61,42870.00,5.30,14.30,16.49,17.96,23.10,29.56,29740.00,34300.00,37360.00,48040.00,61480.00,"",""
11884,"Bellingham, WA",WA,"Community and Social Service Specialists, All Other",detailed,70,17.30,0.822,1.28,27.05,56260.00,3.10,16.02,18.67,25.94,33.61,41.57,33310.00,38830.00,53940.00,69910.00,86470.00,"",""
11885,"Bellingham, WA",WA,Legal Occupations,major,350,5.30,4.278,0.51,40.26,83730.00,2.50,22.05,28.85,36.15,47.47,61.43,45860.00,60010.00,75200.00,98740.00,127780.00,"",""
11886,"Bellingham, WA",WA,Lawyers,detailed,220,16.70,2.604,0.54,44.31,92160.00,5.50,28.68,29.47,37.69,56.08,64.99,59660.00,61290.00,78400.00,116650.00,135180.00,"",""
11887,"Bellingham, WA",WA,Paralegals and Legal Assistants,detailed,80,27.10,0.949,0.40,31.14,64760.00,3.60,20.77,22.36,35.13,36.70,36.70,43200.00,46520.00,73080.00,76330.00,76330.00,"",""
11888,"Bellingham, WA",WA,Educational Instruction and Library Occupations,major,4990,0.60,60.461,1.04,31.39,65290.00,0.50,17.35,18.45,29.13,38.99,49.94,36090.00,38380.00,60590.00,81110.00,103870.00,"",""
11889,"Bellingham, WA",WA,"Business Teachers, Postsecondary",detailed,50,4.00,0.638,1.13,,85920.00,3.10,,,,,,38100.00,48590.00,64030.00,126540.00,160500.00,TRUE,""
11890,"Bellingham, WA",WA,"Mathematical Science Teachers, Postsecondary",detailed,40,1.10,0.426,1.36,,69400.00,2.00,,,,,,30350.00,49860.00,63740.00,78630.00,98760.00,TRUE,""
11891,"Bellingham, WA",WA,"Nursing Instructors and Teachers, Postsecondary",detailed,80,0.80,0.994,2.06,,75960.00,0.60,,,,,,63740.00,66050.00,66050.00,84090.00,107180.00,TRUE,""
11892,"Bellingham, WA",WA,"Art, Drama, and Music Teachers, Postsecondary",detailed,50,5.40,0.564,0.84,,65990.00,1.00,,,,,,42600.00,49860.00,61980.00,77590.00,97650.00,TRUE,""
11893,"Bellingham, WA",WA,"English Language and Literature Teachers, Postsecondary",detailed,60,1.50,0.672,1.62,,66060.00,0.80,,,,,,30360.00,49860.00,63740.00,77850.00,97710.00,TRUE,""
11894,"Bellingham, WA",WA,"Career/Technical Education Teachers, Postsecondary",detailed,120,1.90,1.497,2.00,30.36,63140.00,0.70,23.43,23.97,29.51,37.10,37.10,48740.00,49860.00,61380.00,77170.00,77170.00,"",""
11895,"Bellingham, WA",WA,"Preschool Teachers, Except Special Education",detailed,150,9.80,1.778,0.64,17.58,36560.00,3.00,14.07,14.30,16.63,19.00,22.82,29270.00,29740.00,34590.00,39520.00,47460.00,"",""
11896,"Bellingham, WA",WA,"Kindergarten Teachers, Except Special Education",detailed,150,3.00,1.755,2.05,,76670.00,1.20,,,,,,48490.00,61640.00,76090.00,95890.00,103870.00,TRUE,""
11897,"Bellingham, WA",WA,"Elementary School Teachers, Except Special Education",detailed,750,2.10,9.116,0.97,,81750.00,0.80,,,,,,49550.00,62360.00,78470.00,98940.00,105940.00,TRUE,""
11898,"Bellingham, WA",WA,"Middle School Teachers, Except Special and Career/Technical Education",detailed,270,4.70,3.328,0.79,,77830.00,1.40,,,,,,47920.00,60600.00,76090.00,95890.00,103870.00,TRUE,""
11899,"Bellingham, WA",WA,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,380,3.70,4.547,0.63,,84840.00,1.60,,,,,,49340.00,71610.00,90340.00,99470.00,120630.00,TRUE,""
11900,"Bellingham, WA",WA,"Career/Technical Education Teachers, Secondary School",detailed,70,3.90,0.867,1.45,,91360.00,1.00,,,,,,60920.00,76490.00,96330.00,103870.00,121080.00,TRUE,""
11901,"Bellingham, WA",WA,"Special Education Teachers, Kindergarten and Elementary School",detailed,80,4.00,0.938,0.71,,82040.00,1.00,,,,,,60600.00,62250.00,76880.00,97480.00,107350.00,TRUE,""
11902,"Bellingham, WA",WA,"Special Education Teachers, Middle School",detailed,30,11.10,0.413,0.74,,81970.00,1.70,,,,,,60670.00,62770.00,78340.00,95890.00,108840.00,TRUE,""
11903,"Bellingham, WA",WA,"Special Education Teachers, Secondary School",detailed,60,8.10,0.714,0.69,,81800.00,1.80,,,,,,60670.00,64360.00,78310.00,95890.00,103870.00,TRUE,""
11904,"Bellingham, WA",WA,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed,40,5.00,0.531,1.96,27.03,56220.00,1.60,23.72,23.77,29.26,30.25,30.25,49340.00,49450.00,60860.00,62920.00,62920.00,"",""
11905,"Bellingham, WA",WA,Self-Enrichment Teachers,detailed,200,5.80,2.477,1.61,20.51,42650.00,4.10,13.69,14.41,17.96,22.90,29.98,28480.00,29970.00,37350.00,47630.00,62370.00,"",""
11906,"Bellingham, WA",WA,"Substitute Teachers, Short-Term",detailed,400,2.60,4.889,1.84,18.58,38640.00,0.70,17.78,17.78,17.78,18.55,22.26,36970.00,36970.00,36970.00,38590.00,46300.00,"",""
11907,"Bellingham, WA",WA,Tutors,detailed,50,9.70,0.570,0.55,15.86,32990.00,5.60,14.17,14.25,14.49,17.20,20.34,29480.00,29640.00,30150.00,35780.00,42320.00,"",""
11908,"Bellingham, WA",WA,"Teachers and Instructors, All Other",detailed,40,11.80,0.471,0.40,,68070.00,1.80,,,,,,48670.00,60000.00,64360.00,81740.00,81740.00,TRUE,""
11909,"Bellingham, WA",WA,Librarians and Media Collections Specialists,detailed,70,15.00,0.858,0.95,39.91,83000.00,6.20,29.14,29.64,37.46,46.20,58.00,60600.00,61640.00,77920.00,96100.00,120630.00,"",""
11910,"Bellingham, WA",WA,Library Technicians,detailed,40,15.20,0.442,0.85,22.69,47190.00,2.10,17.86,17.97,22.77,28.19,28.80,37140.00,37370.00,47360.00,58630.00,59910.00,"",""
11911,"Bellingham, WA",WA,Farm and Home Management Educators,detailed,40,7.00,0.444,5.89,25.87,53800.00,1.00,18.95,22.53,24.22,31.73,31.73,39420.00,46870.00,50380.00,66000.00,66000.00,"",""
11912,"Bellingham, WA",WA,Instructional Coordinators,detailed,80,7.60,0.996,0.76,36.21,75310.00,2.70,18.09,23.33,35.27,49.81,52.43,37630.00,48530.00,73370.00,103600.00,109050.00,"",""
11913,"Bellingham, WA",WA,"Teaching Assistants, Postsecondary",detailed,110,0.70,1.313,1.53,,37590.00,0.50,,,,,,30000.00,36910.00,38380.00,38380.00,42360.00,TRUE,""
11914,"Bellingham, WA",WA,"Teaching Assistants, Except Postsecondary",detailed,940,1.60,11.373,1.35,,40220.00,0.50,,,,,,30330.00,36970.00,38540.00,46570.00,47170.00,TRUE,""
11915,"Bellingham, WA",WA,"Educational Instruction and Library Workers, All Other",detailed,60,3.50,0.738,0.67,25.98,54030.00,1.40,17.74,18.32,23.57,29.96,36.94,36910.00,38110.00,49030.00,62310.00,76830.00,"",""
11916,"Bellingham, WA",WA,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1040,3.70,12.576,0.98,27.06,56280.00,1.50,14.65,18.09,23.54,34.30,44.25,30470.00,37630.00,48960.00,71350.00,92030.00,"",""
11917,"Bellingham, WA",WA,Floral Designers,detailed,40,11.40,0.426,1.67,16.91,35180.00,2.60,14.08,14.15,17.41,18.37,22.37,29290.00,29430.00,36210.00,38210.00,46530.00,"",""
11918,"Bellingham, WA",WA,Graphic Designers,detailed,190,5.40,2.348,1.62,33.00,68640.00,4.10,18.44,22.85,33.59,44.25,44.25,38340.00,47530.00,69880.00,92030.00,92030.00,"",""
11919,"Bellingham, WA",WA,Merchandise Displayers and Window Trimmers,detailed,90,21.10,1.065,0.94,17.25,35870.00,2.40,14.14,14.53,17.34,17.52,20.65,29410.00,30230.00,36060.00,36450.00,42960.00,"",""
11920,"Bellingham, WA",WA,Producers and Directors,detailed,30,8.60,0.386,0.39,37.38,77750.00,4.90,21.41,23.57,30.97,40.69,60.54,44530.00,49030.00,64420.00,84640.00,125930.00,"",""
11921,"Bellingham, WA",WA,Coaches and Scouts,detailed,300,6.30,3.676,2.67,,48740.00,2.60,,,,,,30470.00,31200.00,47180.00,58010.00,74930.00,TRUE,""
11922,"Bellingham, WA",WA,Public Relations Specialists,detailed,90,15.30,1.137,0.66,32.11,66780.00,3.80,22.53,24.06,30.41,37.52,47.15,46870.00,50050.00,63240.00,78030.00,98070.00,"",""
11923,"Bellingham, WA",WA,Editors,detailed,70,7.80,0.807,1.28,28.80,59910.00,4.80,14.90,18.86,24.06,37.24,48.15,30990.00,39230.00,50040.00,77450.00,100150.00,"",""
11924,"Bellingham, WA",WA,Healthcare Practitioners and Technical Occupations,major,4410,1.30,53.411,0.86,44.54,92630.00,2.80,22.09,28.76,36.51,47.33,62.12,45950.00,59820.00,75940.00,98440.00,129200.00,"",""
11925,"Bellingham, WA",WA,Chiropractors,detailed,40,25.00,0.432,1.70,42.64,88680.00,6.20,14.29,29.09,37.61,47.44,72.02,29730.00,60510.00,78230.00,98680.00,149810.00,"",""
11926,"Bellingham, WA",WA,"Dentists, General",detailed,70,19.20,0.849,1.10,85.57,177990.00,9.50,45.45,61.56,,,,94530.00,128040.00,,,,"",""
